# L=15, N=15, T=1.0, sym gs
#          U         Eg                 S₁(ℓ=7)              S₁acc(ℓ=7)                 S₂(ℓ=7)              S₂acc(ℓ=7)                 EN(ℓ=7)              ENacc(ℓ=7)
   12.328467     -4.833199057254E+00      2.881694053755E-01      4.044721119759E-02      1.097835158434E-01      3.209258355304E-02      8.163312890632E-01      1.072897900508E-01
   13.219411     -4.511699507521E+00      2.563338273137E-01      3.477921462864E-02      9.495878333569E-02      2.776405285774E-02      7.646885328815E-01      9.302435678271E-02
   14.174742     -4.211030879049E+00      2.279638678432E-01      2.994302069437E-02      8.219624006073E-02      2.403653218998E-02      7.164392202672E-01      8.070112663481E-02
   15.199111     -3.929957520178E+00      2.026832268558E-01      2.580813913801E-02      7.119403236144E-02      2.082240095019E-02      6.712978912098E-01      7.004223165893E-02
   16.297508     -3.667292475055E+00      1.801579825668E-01      2.226638235937E-02      6.169824476377E-02      1.804775997808E-02      6.290193768329E-01      6.081338912432E-02
   17.475284     -3.421901453215E+00      1.600911447450E-01      1.922768620644E-02      5.349433105691E-02      1.565010891931E-02      5.893906742668E-01      5.281611936998E-02
   18.738174     -3.192705005289E+00      1.422181338254E-01      1.661677035861E-02      4.640033034554E-02      1.357642286024E-02      5.522244243496E-01      4.588148717046E-02
   20.092330     -2.978679330961E+00      1.263029630295E-01      1.437047165353E-02      4.026142349315E-02      1.178157936895E-02      5.173538458971E-01      3.986511349750E-02
   21.544347     -2.778856069282E+00      1.121349695569E-01      1.243560758803E-02      3.494551939797E-02      1.022707423557E-02      4.846288661835E-01      3.464318738536E-02
   23.101297     -2.592321348531E+00      9.952598621397E-02      1.076725588953E-02      3.033964615447E-02      8.879969657220E-03      4.539131738855E-01      3.010924658387E-02
   24.770764     -2.418214310313E+00      8.830787425058E-02      9.327361336006E-03      2.634697951790E-02      7.712028468115E-03      4.250819636066E-01      2.617154859403E-02
   26.560878     -2.255725272069E+00      7.833035768544E-02      8.083601231674E-03      2.288438120416E-02      6.698997545020E-03      3.980201954816E-01      2.275089998698E-02
   28.480359     -2.104093652394E+00      6.945911279456E-02      7.008456542106E-03      1.988034856635E-02      5.820011446217E-03      3.726212396793E-01      1.977884683129E-02
   30.538555     -1.962605752814E+00      6.157407598344E-02      6.078447564977E-03      1.727329868481E-02      5.057093584716E-03      3.487858104002E-01      1.719615405273E-02
   32.745492     -1.830592466064E+00      5.456794028321E-02      5.273502034987E-03      1.501012612203E-02      4.394737054765E-03      3.264211190755E-01      1.495151924641E-02
   35.111917     -1.707426962849E+00      4.834481601435E-02      4.576430441428E-03      1.304498598810E-02      3.819550932964E-03      3.054401945194E-01      1.300047907233E-02
   37.649358     -1.592522395257E+00      4.281903525160E-02      3.972488613276E-03      1.133826353511E-02      3.319960726251E-03      2.857613308645E-01      1.130447548409E-02
   40.370173     -1.485329644508E+00      3.791408293378E-02      3.449011700041E-03      9.855698960878E-03      2.885953848896E-03      2.673076336902E-01      9.830055750882E-03
   43.287613     -1.385335132668E+00      3.356164001739E-02      2.995106842454E-03      8.567641963262E-03      2.508862735766E-03      2.500066418647E-01      8.548185261369E-03
   46.415888     -1.292058711852E+00      2.970072613406E-02      2.601394303923E-03      7.448415224571E-03      2.181179556208E-03      2.337900079444E-01      7.433655938387E-03
   49.770236     -1.205051639818E+00      2.627693089361E-02      2.259788783705E-03      6.475769701532E-03      1.896397569856E-03      2.185932240038E-01      6.464576078296E-03
   53.366992     -1.123894647283E+00      2.324172436259E-02      1.963314177301E-03      5.630417560723E-03      1.648875026103E-03      2.043553828327E-01      5.621929788798E-03
   57.223677     -1.048196099697E+00      2.055183840585E-02      1.705946279853E-03      4.895630992276E-03      1.433718201730E-03      1.910189667910E-01      4.889196093198E-03
   61.359073     -9.775902541588E-01      1.816871155411E-02      1.482478913588E-03      4.256897078138E-03      1.246680733049E-03      1.785296584148E-01      4.252019309362E-03
   65.793322     -9.117356107308E-01      1.605799089107E-02      1.288409753515E-03      3.701620478639E-03      1.084076857295E-03      1.668361682652E-01      3.697923578194E-03
   70.548023     -8.503133562978E-01      1.418908516628E-02      1.119842767060E-03      3.218867004919E-03      9.427065543066E-04      1.558900765848E-01      3.216065467731E-03
   75.646333     -7.930258983524E-01      1.253476395776E-02      9.734047047306E-04      2.799142221502E-03      8.197908903989E-04      1.456456861573E-01      2.797019458035E-03
   81.113083     -7.395954855495E-01      1.107079824742E-02      8.461735044179E-04      2.434200116497E-03      7.129161241649E-04      1.360598844076E-01      2.432591852154E-03
   86.974900     -6.897629115134E-01      9.775638246507E-03      7.356168208467E-04      2.116877621694E-03      6.199853492614E-04      1.270920132663E-01      2.115659284411E-03
   93.260335     -6.432862981583E-01      8.630124727158E-03      6.395391788161E-04      1.840951388135E-03      5.391766293580E-04      1.187037457013E-01      1.840028529400E-03
  100.000000     -5.999399546761E-01      7.617230489316E-03      5.560364861509E-04      1.601013746758E-03      4.689067321468E-04      1.108589681009E-01      1.600314768701E-03
