# L=15, N=15, T=1.0, sym gs
# S1
#          U                     n=0                     n=1                     n=2                     n=3                     n=4                     n=5                     n=6                     n=7                     n=8                     n=9                    n=10                    n=11                    n=12                    n=13                    n=14                    n=15
    0.265609      1.004936647222E-05      3.705024795342E-04      5.010723344389E-03      3.300191558772E-02      1.182415384918E-01      2.498720798113E-01      3.467057865975E-01      3.732971830300E-01      3.460908923840E-01      2.492090474907E-01      1.191989961076E-01      3.455838334093E-02      5.744096082215E-03      5.152198944990E-04      2.228002297018E-05      3.512469462987E-07
    0.284804      8.042932453191E-06      3.176536130977E-04      4.542541833498E-03      3.125310395753E-02      1.155666882429E-01      2.489995553342E-01      3.482762436819E-01      3.754530908319E-01      3.476971663031E-01      2.483975228879E-01      1.165543010638E-01      3.275001559954E-02      5.212417243782E-03      4.422687214215E-04      1.786130587137E-05      2.594179591510E-07
    0.305386      6.375749906442E-06      2.705546247368E-04      4.100625351512E-03      2.952433539859E-02      1.128227649483E-01      2.480528549448E-01      3.498683524083E-01      3.776493080243E-01      3.493239144158E-01      2.475101359750E-01      1.138374843559E-01      3.096059607409E-02      4.710110991290E-03      3.771962337564E-04      1.418568891123E-05      1.891343071919E-07
    0.327455      5.004206971695E-06      2.288703307344E-04      3.685397301253E-03      2.781999818912E-02      1.100117491369E-01      2.470275010389E-01      3.514798935992E-01      3.798836858711E-01      3.509688433441E-01      2.465423425401E-01      1.110504974870E-01      2.919474889927E-02      4.237704608789E-03      3.195487473139E-04      1.115800025104E-05      1.360587010077E-07
    0.351119      3.887462786112E-06      1.922417160110E-04      3.297072878816E-03      2.614440209635E-02      1.071359155654E-01      2.459188900834E-01      3.531085807054E-01      3.821539843043E-01      3.526296055660E-01      2.454894934566E-01      1.081955979189E-01      2.745701793403E-02      3.795486031028E-03      2.688388765459E-04      8.689090007513E-06      9.653035075788E-08
    0.376494      2.987842587986E-06      1.602930513782E-04      2.935661795481E-03      2.450174765285E-02      1.041978408543E-01      2.447222910785E-01      3.547520664566E-01      3.844578738690E-01      3.543038061685E-01      2.443468322249E-01      1.052753542929E-01      2.575183409908E-02      3.383507390055E-03      2.245555600635E-04      6.696708885111E-06      6.751052975474E-08
    0.403702      2.271101935050E-06      1.326388783924E-04      2.600973803857E-03      2.289609552205E-02      1.012004106547E-01      2.434328428251E-01      3.564079486650E-01      3.867929352560E-01      3.559890084006E-01      2.431094907987E-01      1.022926512280E-01      2.408348328471E-02      3.001591847476E-03      1.861738525617E-04      5.106090902595E-06      4.651898341806E-08
    0.432876      1.706566483823E-06      1.088906988458E-04      2.292626925872E-03      2.133133616149E-02      9.814682623816E-02      2.420455498209E-01      3.580737752095E-01      3.891566561783E-01      3.576827380726E-01      2.417724835788E-01      9.925069370795E-02      2.245607502645E-02      2.649343521580E-03      1.531642507378E-04      3.850257119213E-06      3.156554291696E-08
    0.464159      1.267157939616E-06      8.866322093628E-05      2.010058234672E-03      1.981116000905E-02      9.504061036886E-02      2.405552765609E-01      3.597470482939E-01      3.915464253686E-01      3.593824869276E-01      2.403306994277E-01      9.615301102893E-02      2.087351213066E-02      2.326160269997E-03      1.250013486125E-04      2.870066529157E-06      2.108074658455E-08
    0.497702      9.293201119164E-07      7.158003339719E-05      1.752536997093E-03      1.833902843650E-02      9.188561229237E-02      2.389567399617E-01      3.614252281439E-01      3.939595234746E-01      3.610857151930E-01      2.387788915102E-01      9.300346023314E-02      1.933946142469E-02      2.031249045882E-03      1.011716506310E-04      2.114047346561E-06      1.384858792189E-08
    0.533670      6.728613825007E-07      5.727860166142E-05      1.519179938576E-03      1.691814573697E-02      8.868601164831E-02      2.372444995480E-01      3.631057363846E-01      3.963931106152E-01      3.627898536108E-01      2.371116646947E-01      8.980622890564E-02      1.785732580674E-02      1.763643508556E-03      8.118040751876E-05      1.538046582240E-06      8.943764073696E-09
    0.572237      4.807312715750E-07      4.541450588472E-05      1.308968349462E-03      1.555143243580E-02      8.544632108871E-02      2.354129449429E-01      3.647859594343E-01      3.988442103089E-01      3.644923053424E-01      2.353234601476E-01      8.656583716189E-02      1.643021777989E-02      1.522223537996E-03      6.455737884164E-05      1.104738136046E-06      5.675055574082E-09
    0.613591      3.387491717470E-07      3.566486837683E-05      1.120766711720E-03      1.424150023685E-02      8.217138736082E-02      2.334562800721E-01      3.664632523547E-01      4.013096893991E-01      3.661904482560E-01      2.334085366230E-01      8.328713860533E-02      1.506093467181E-02      1.305736276348E-03      5.086146601683E-05      7.830297151063E-07      3.535778087615E-09
    0.657933      2.353027790313E-07      2.773094668363E-05      9.533424897780E-04      1.299062893855E-02      7.886639059012E-02      2.313685033327E-01      3.681349437283E-01      4.037862334555E-01      3.678816382359E-01      2.313609477749E-01      7.997531998775E-02      1.375193576575E-02      1.112818298779E-03      3.968419877138E-05      5.474069961975E-07      2.161648390597E-09
    0.705480      1.610324025058E-07      2.133989706090E-05      8.053867000280E-04      1.180074567263E-02      7.553684147643E-02      2.291433827733E-01      3.697983422966E-01      4.062703169110E-01      3.695632143107E-01      2.291745146047E-01      7.663589926129E-02      1.250532159799E-02      9.420185007189E-04      3.065209534825E-05      3.772499239196E-07      1.295923871668E-09
    0.756463      1.085153422752E-07      1.624574017343E-05      6.755348522987E-04      1.067340683520E-02      7.218857609224E-02      2.267744250695E-01      3.714507462946E-01      4.087581668635E-01      3.712325065997E-01      2.268427918749E-01      7.327472166940E-02      1.132281570986E-02      7.918212793199E-04      2.342795083679E-05      2.561512846378E-07      7.613172414283E-10
    0.811131      7.196208182217E-08      1.222958535523E-05      5.623878447404E-04      9.609783090792E-03      6.882774794684E-02      2.242548367534E-01      3.730894566790E-01      4.112457189990E-01      3.728868483291E-01      2.243590269765E-01      6.989795348501E-02      1.020574917617E-02      6.606695843035E-04      1.771113770261E-05      1.712621605804E-07      4.379533513414E-10
    0.869749      4.693335202712E-08      9.099190597150E-06      4.645323924468E-04      8.610647836741E-03      6.546081695173E-02      2.215774757313E-01      3.747117957795E-01      4.137285634108E-01      3.745235934958E-01      2.217161092929E-01      6.651207296669E-02      9.155048263728E-03      5.469874181678E-04      1.323702695595E-05      1.126829878381E-07      2.465106652965E-10
    0.932603      3.008439261792E-08      6.687951697568E-06      3.805605807422E-04      7.676369513428E-03      6.209453489328E-02      2.187347905853E-01      3.763151333207E-01      4.162018771164E-01      3.761401421690E-01      2.189065075475E-01      6.312385806733E-02      8.171225600193E-03      4.492013787113E-04      9.775656711851E-06      7.291312181096E-08      1.356570542491E-10
    1.000000      1.894014442203E-08      4.853425093360E-06      3.090881569664E-04      6.806908136331E-03      5.873592698893E-02      2.157187444611E-01      3.778969222853E-01      4.186603386893E-01      3.777339759356E-01      2.159221919098E-01      5.974037039621E-02      7.254375251478E-03      3.657608588801E-04      7.129786724510E-06      4.636639896528E-08      7.292595335502E-11
    1.072267      1.170280016836E-08      3.475494478216E-06      2.487712098748E-04      6.001816403831E-03      5.539226907782E-02      2.125207194443E-01      3.794547477220E-01      4.210980184385E-01      3.793027066267E-01      2.127545367209E-01      5.636893490665E-02      6.404172110620E-03      2.951565507365E-04      5.132482718270E-06      2.895544057040E-08      3.826197287238E-11
    1.149757      7.091226533820E-09      2.454291448891E-06      1.983209329435E-04      5.260245698977E-03      5.207105998402E-02      2.091313961630E-01      3.809863923339E-01      4.235082347231E-01      3.808441421958E-01      2.093941985229E-01      5.301711476515E-02      5.619875989322E-03      2.359369422085E-04      3.644373187191E-06      1.774354711926E-08      1.957424949809E-11
    1.232847      4.210302234403E-09      1.707975484579E-06      1.565162258341E-04      4.580957249955E-03      4.877998860316E-02      2.055406018363E-01      3.824899234721E-01      4.258833628699E-01      3.823563744152E-01      2.058309625398E-01      4.969268086590E-02      4.900340770044E-03      1.867225472019E-04      2.550714345434E-06      1.066006553442E-08      9.754217721634E-12
    1.321941      2.447206779163E-09      1.170469250968E-06      1.222139553205E-04      3.962338640001E-03      4.552689532190E-02      2.017371180040E-01      3.839638068827E-01      4.282145771351E-01      3.838378937921E-01      2.020535487636E-01      4.640357550757E-02      4.244028917956E-03      1.462176709663E-04      1.758386899746E-06      6.273073951002E-09      4.729451773794E-12
    1.417474      1.391113202856E-09      7.892324687623E-07      9.435677078436E-05      3.402425760049E-03      4.231972751513E-02      1.977084365863E-01      3.854070529397E-01      4.304914972069E-01      3.852877375131E-01      1.980493661804E-01      4.315786987965E-02      3.649031564466E-03      1.132195819949E-04      1.192932348249E-06      3.612050098895E-09      2.228532772178E-12
    1.519911      7.725270710764E-10      5.231424909891E-07      7.197844699740E-05      2.898930174725E-03      3.916648912267E-02      1.934404495588E-01      3.868194005953E-01      4.327016972238E-01      3.867056757504E-01      1.938042002754E-01      3.996371526135E-02      3.113094255149E-03      8.662503707199E-05      7.957178034627E-07      2.032747004038E-09      1.019164899446E-12
    1.629751      4.185965492483E-10      3.405334629302E-07      5.420680509855E-05      2.449271724477E-03      3.607518475101E-02      1.889170532295E-01      3.882015417728E-01      4.348300144237E-01      3.880924391934E-01      1.893018145837E-01      3.682928828866E-02      2.633648303848E-03      6.543418465171E-05      5.212981910427E-07      1.116641648566E-09      4.517016893759E-13
    1.747528      2.210106310524E-10      2.174296105535E-07      4.026433772075E-05      2.050616016025E-03      3.305375947374E-02      1.841196427608E-01      3.895553822367E-01      4.368575616148E-01      3.894499840168E-01      1.845234416173E-01      3.376273140084E-02      2.207847513692E-03      4.875195005622E-05      3.350243490038E-07      5.978856063340E-10      1.936994331895E-13
    1.873817      1.135241763897E-10      1.359928212362E-07      2.946673252218E-05      1.699916265552E-03      3.011003666430E-02      1.790264663472E-01      3.908843198540E-01      4.387602945488E-01      3.907817754063E-01      1.794471321135E-01      3.077209079670E-02      1.832609819952E-03      3.578708026091E-05      2.109262025523E-07      3.115158050364E-10      8.021699749387E-14
    2.009233      5.662902251386E-11      8.319104413732E-08      2.121954644806E-05      1.393958763278E-03      2.725165802157E-02      1.736118021647E-01      3.921934893436E-01      4.405068978678E-01      3.920930389507E-01      1.740469250579E-01      2.786525616501E-02      1.504663188084E-03      2.584909233225E-05      1.298827740681E-07      1.576422151774E-10      3.201388719416E-14
    2.154435      2.737477066504E-11      4.968270687214E-08      1.501332792373E-05      1.129411036528E-03      2.448603282672E-02      1.678449172923E-01      3.934898581361E-01      4.420556071944E-01      3.933908646622E-01      1.682917967803E-01      2.504990950798E-02      1.220594875904E-03      1.834342418727E-05      7.807601593334E-08      7.730857100637E-11      1.228190987333E-14
    2.310130      1.279196664712E-11      2.890362153111E-08      1.041751364089E-05      9.028716154214E-04      2.182030804205E-02      1.616887724689E-01      3.947819300531E-01      4.433493386925E-01      3.946839202546E-01      1.621443518632E-01      2.233349522419E-02      9.769029567504E-04      1.276512611790E-05      4.571375576436E-08      3.664359114335E-11      4.516245985449E-15
    2.477076      5.760929929585E-12      1.633679143232E-08      7.073439435455E-06      7.109201640890E-04      1.926137820547E-02      1.550984642784E-01      3.960785635965E-01      4.443080834380E-01      3.959812798891E-01      1.555592462745E-01      1.972323137017E-02      7.700488154352E-04      8.691454259523E-06      2.599856919314E-08      1.673416304707E-11      1.586182680827E-15
    2.656088      2.491254962538E-12      8.941972163314E-09      4.686800827534E-06      5.501666352173E-04      1.681596591053E-02      1.480194797333E-01      3.973859310959E-01      4.448168422627E-01      3.972893930811E-01      1.484814169706E-01      1.722619444437E-02      5.965091763523E-04      5.773731803136E-06      1.431403905263E-08      7.334357728991E-12      5.298434821412E-16
    2.848036      1.029745293021E-12      4.720467712709E-09      3.019879145404E-06      4.172980169027E-04      1.449082241255E-02      1.403860477162E-01      3.987007435382E-01      4.447063147024E-01      3.986053153984E-01      1.408444034453E-01      1.484952959397E-02      4.528260830145E-04      3.728830503192E-06      7.597309546742E-09      3.070347599577E-12      1.674508969428E-16
    3.053856      4.045089867186E-13      2.391033086837E-09      1.883815862582E-06      3.091210896313E-04      1.229312572633E-02      1.321203527428E-01      3.999962519247E-01      4.437221134707E-01      3.999027061924E-01      1.325695322994E-01      1.260086695500E-02      3.356530356506E-04      2.330595447066E-06      3.866640356837E-09      1.220286816866E-12      4.974297725539E-17
    3.274549      1.499090127336E-13      1.154443734761E-09      1.131173885400E-06      2.225991957603E-04      1.023118760214E-02      1.231344036444E-01      4.011949149561E-01      4.414770309493E-01      4.011044747842E-01      1.235677734978E-01      1.048905967528E-02      2.417949883411E-04      1.401492952957E-06      1.874269463620E-09      4.569381742456E-13      1.377485440952E-17
    3.511192      5.192105516215E-14      5.268224520050E-10      6.489740600108E-07      1.548799331357E-04      8.315596988570E-03      1.133383469466E-01      4.021182902324E-01      4.373823431740E-01      4.020326222517E-01      1.137480953247E-01      8.525374710304E-03      1.682386614010E-04      8.047090991888E-07      8.577480548582E-10      1.596312095039E-13      3.518664379613E-18
    3.764936      1.660594587172E-14      2.247777010498E-10      3.523437311725E-07      1.033083483886E-04      6.560839227085E-03      1.026622793077E-01      4.024036251553E-01      4.305657245876E-01      4.023247473500E-01      1.030394459540E-01      6.725173079131E-03      1.121670268379E-04      4.368712870431E-07      3.664954172361E-10      5.138349506104E-14      8.180934386596E-19
    4.037017      4.831792489782E-15      8.846861978978E-11      1.788702428522E-07      6.541674520024E-05      4.987017853476E-03      9.110192615175E-02      4.013883892983E-01      4.198206131942E-01      4.013184602867E-01      9.143684447565E-02      5.109684143861E-03      7.094806309425E-05      2.215178308148E-07      1.441885179419E-10      1.500527560075E-14      1.702875342225E-19
    4.328761      1.256930856398E-15      3.162051839048E-11      8.372652476579E-08      3.888160620197E-05      3.620240186943E-03      7.879539443944E-02      3.980115044242E-01      4.037084453247E-01      3.979524787677E-01      7.907888996228E-02      3.706369745626E-03      4.208745184031E-05      1.034141524597E-07      5.139537902973E-11      3.904030919679E-15      3.112800519797E-20
    4.641589      2.871490620185E-16      1.010171404296E-11      3.562761005765E-08      2.145318724563E-05      2.488676567229E-03      6.611318909222E-02      3.908770504344E-01      3.810022976619E-01      3.908302232632E-01      6.633874165700E-02      2.544772688524E-03      2.315207942949E-05      4.380681021128E-08      1.632647556858E-11      8.882241989344E-16      4.898848436737E-21
    4.977024      5.680617786400E-17      2.850045051029E-12      1.363724991576E-08      1.090787322009E-05      1.611549750217E-03      5.368875628183E-02      3.786808867284E-01      3.515097846354E-01      3.786464286396E-01      5.385511610772E-02      1.645032264569E-03      1.172086901308E-05      1.665445875554E-08      4.563890342447E-12      1.741026043951E-16      6.533210427173E-22
    5.336699      9.685388498177E-18      7.080086229502E-13      4.685399829432E-09      5.113894109337E-06      9.843810690205E-04      4.228863546767E-02      3.609553979421E-01      3.167686839985E-01      3.609321156972E-01      4.240128464839E-02      1.002584165652E-03      5.463319476348E-06      5.668274207743E-09      1.118596224914E-12      2.923834763403E-17      7.338824892750E-23
    5.722368      1.434441187658E-18      1.562646737126E-13      1.457919111869E-09      2.234344609672E-06      5.725901775290E-04      3.253501586538E-02      3.385582888072E-01      2.797598645746E-01      3.385438872041E-01      3.260487555685E-02      5.816260729631E-04      2.369805160674E-06      1.742196407701E-09      2.424294616279E-13      4.237285781990E-18      6.994915924493E-24
    6.135907      1.880284435779E-19      3.123324842030E-14      4.184016394569E-10      9.266225560761E-07      3.219962885926E-04      2.468320721079E-02      3.133315349935E-01      2.436211676479E-01      3.133233348028E-01      2.472308117753E-02      3.261324705456E-04      9.745824826941E-07      4.924865467825E-10      4.734177361139E-14      5.396915324664E-19      5.766239962074E-25
    6.579332      2.234661965626E-20      5.789394324123E-15      1.132373333864E-10      3.723548153160E-07      1.778536920673E-04      1.862614118218E-02      2.872267259528E-01      2.104892471646E-01      2.872223803074E-01      1.864728689142E-02      1.796233053202E-04      3.881160521461E-07      1.309689779149E-10      8.531002140628E-15      6.187459155114E-20      4.215896822960E-26
    7.054802      2.466732383822E-21      1.018472757845E-15      2.952225812928E-11      1.475942059126E-07      9.770584750033E-05      1.406004029311E-02      2.616737333409E-01      1.812569517341E-01      2.616715636245E-01      1.407057012202E-02      9.842289162537E-05      1.524782573568E-07      3.349355900340E-11      1.452474432933E-15      6.541820492957E-21      2.805580618179E-27
    7.564633      2.582896205122E-22      1.733842517758E-16      7.544619332502E-12      5.844585684239E-08      5.380386446139E-05      1.064569721373E-02      2.374701154509E-01      1.559628206039E-01      2.374690840569E-01      1.065066857027E-02      5.408208523576E-05      5.989181130439E-08      8.390258019406E-12      2.384756262962E-16      6.516859033540E-22      1.801918817703E-28
    8.111308      2.609689857132E-23      2.899157650459E-17      1.914336913005E-12      2.329503057987E-08      2.981015620937E-05      8.091108641977E-03      2.149558128191E-01      1.342495373415E-01      2.149553422987E-01      8.093351907126E-03      2.991441603455E-05      2.370822368909E-08      2.087703771811E-12      3.837844267998E-17      6.227360941581E-23      1.331227224551E-29
    8.697490      2.578173263057E-24      4.812029026207E-18      4.864278730359E-13      9.378048013674E-09      1.663574617040E-05      6.171482537258E-03      1.942155573792E-01      1.156496052348E-01      1.942153501810E-01      6.172456378833E-03      1.667372584047E-05      9.492904720212E-09      5.209810960350E-13      6.128668932582E-18      5.791182498763E-24      1.757000830867E-30
    9.326033      2.515060065837E-25      7.984191081093E-19      1.244173790141E-13      3.816902631730E-09      9.348004835849E-06      4.721458221475E-03      1.752137160854E-01      9.971152474213E-02      1.752136276364E-01      4.721867138044E-03      9.361521769179E-06      3.848145656024E-09      1.311626708028E-13      9.796287789653E-19      5.301249690542E-25      4.431721367760E-31
   10.000000      2.439708588541E-26      1.330055777628E-19      3.211944505145E-14      1.569934427651E-09      5.284844750878E-06      3.620877061716E-03      1.578647046341E-01      8.603921003466E-02      1.578646679181E-01      3.621043888903E-03      5.289563673224E-06      1.578289606719E-09      3.341672850623E-14      1.576414349877E-19      4.818856606677E-26      1.421131182909E-31
   10.722672      2.365322909515E-27      2.230110601638E-20      8.377685475285E-15      6.519225014187E-10      3.003157707856E-06      2.782161534738E-03      1.420649278561E-01      7.429608356468E-02      1.420649130027E-01      2.782227913895E-03      3.004779067328E-06      6.541272152244E-10      8.624624773532E-15      2.562629377910E-20      4.378167167959E-27      8.651275686601E-31
   11.497570      2.303915866135E-28      3.768434666840E-21      2.207827292481E-15      2.729988803062E-10      1.713916293773E-06      2.140934667166E-03      1.277061588305E-01      6.419833637455E-02      1.277061529668E-01      2.140960509860E-03      1.714466077600E-06      2.735745946315E-10      2.254521299419E-15      4.215694401172E-21      3.994158863750E-28      7.024556190847E-31
   12.328467      2.267675346931E-29      6.421264934247E-22      5.875989045630E-16      1.151598084125E-10      9.816526376227E-07      1.649432910678E-03      1.146810381976E-01      5.550649182732E-02      1.146810359372E-01      1.649442782500E-03      9.818370563647E-07      1.153089267667E-10      5.963957336663E-16      7.022433987872E-22      3.671890526592E-29      2.597235857284E-31
   13.219411      2.302671150629E-30      1.103500744459E-22      1.578199424559E-16      4.888651002334E-11      5.639354072291E-07      1.271926400455E-03      1.028854690767E-01      4.801790547162E-02      1.028854682255E-01      1.271930109465E-03      5.639967261611E-07      4.892489236742E-11      1.594749896260E-16      1.184407819326E-22      3.410824457189E-30      9.679913232061E-32
   14.174742      3.167606951493E-31      1.912419160615E-23      4.274337394434E-17      2.086657242915E-11      3.247850900822E-07      9.815058923108E-04      9.221979883632E-02      4.156060769357E-02      9.221979852303E-02      9.815072658069E-04      3.248053347189E-07      2.087640459784E-11      4.305492637012E-17      2.021595342885E-23      3.198868408855E-31      8.733911646080E-32
   15.199111      4.591779460629E-32      3.341628545391E-24      1.166454690948E-17      8.948742378479E-12      1.874499181656E-07      7.577948128673E-04      8.258947561650E-02      3.598831068327E-02      8.258947550367E-02      7.577953150861E-04      1.874565646261E-07      8.951251893870E-12      1.172331378755E-17      3.489477629446E-24      3.063467785848E-32      2.091101298042E-32
   16.297508      2.335156867172E-31      5.885257328839E-25      3.205120211551E-18      3.853354783747E-12      1.083805926036E-07      5.852958625379E-04      7.390542186485E-02      3.117633019914E-02      7.390542182508E-02      5.852960441474E-04      1.083827651942E-07      3.853993557958E-12      3.216240437368E-18      6.086307274894E-25      2.348246240244E-32      1.920202428396E-31
   17.475284      5.030812019332E-31      1.044346841018E-25      8.861480502280E-19      1.665082766878E-12      6.275829164967E-08      4.521809883454E-04      6.608421839540E-02      2.701822040557E-02      6.608421838168E-02      4.521810533823E-04      6.275899947879E-08      1.665245032252E-12      8.882608132822E-19      1.071808159832E-25      7.943554536939E-33      4.199621117778E-31
   18.738174      2.467065462639E-32      1.866443292957E-26      2.463680910739E-19      7.216682697950E-13      3.638628577455E-08      3.493966707363E-04      5.904814670700E-02      2.342297427722E-02      5.904814670238E-02      3.493966938289E-04      3.638651582455E-08      7.217094280138E-13      2.467713826004E-19      1.904121754211E-26      5.850795963599E-34      2.068364197897E-32
   20.092330      1.501381776672E-31      3.357992569966E-27      6.883835221223E-20      3.135860400183E-13      2.111832937359E-08      2.699968330973E-04      5.272512288059E-02      2.031268135813E-02      5.272512287908E-02      2.699968412355E-04      2.111840401380E-08      3.135964683013E-13      6.891572881614E-20      3.409929345608E-27      1.717360569755E-33      1.259481672337E-31
   21.544347      1.955801664595E-31      6.079295620569E-28      1.932036009471E-20      1.365618384928E-13      1.226752950540E-08      2.086420804295E-04      4.704855005843E-02      1.762056074149E-02      4.704855005796E-02      2.086420832787E-04      1.226755369538E-08      1.365644786037E-13      1.933528617789E-20      6.151225774107E-28      2.530341051603E-32      1.577298028097E-31
   23.101297      2.398795910232E-31      1.106966681143E-28      5.444118790801E-21      5.958166493135E-14      7.131181164537E-09      1.612216844050E-04      4.195711192799E-02      1.528930472585E-02      4.195711192784E-02      1.612216853968E-04      7.131188999107E-09      5.958233293190E-14      5.447014115560E-21      1.117165212140E-28      6.817216713985E-33      2.011564673428E-31
   24.770764      4.997610543864E-32      2.028193625759E-29      1.539477950800E-21      2.603646904859E-14      4.147753337891E-09      1.245668912142E-04      3.739452551763E-02      1.326968113703E-02      3.739452551759E-02      1.245668915577E-04      4.147755874617E-09      2.603663799216E-14      1.540042747034E-21      2.040619567953E-29      2.357113634673E-32      3.840047129533E-32
   26.560878      2.379947234351E-31      3.731750090184E-30      4.366917274214E-22      1.139277252158E-14      2.413569389290E-09      9.623263668389E-05      3.330926791352E-02      1.151935175776E-02      3.330926791351E-02      9.623263680229E-05      2.413570210655E-09      1.139281523470E-14      4.368025237997E-22      3.769848654546E-30      2.215929165426E-33      2.006387468867E-31
   28.480359      9.068368695765E-33      6.881255581235E-31      1.242137641175E-22      4.990690001993E-15      1.404938877657E-09      7.433079887737E-05      2.965428832180E-02      1.000187174328E-02      2.965428832180E-02      7.433079891803E-05      1.404939143666E-09      4.990700798043E-15      1.242356201262E-22      6.913344080267E-31      1.878296188750E-34      7.599058005034E-33
   30.538555      1.429381593851E-32      1.287911293400E-31      3.541687726417E-23      2.188235296264E-15      8.180264903710E-10      5.740246908413E-05      2.638671425353E-02      8.685840902133E-03      2.638671425353E-02      5.740246909804E-05      8.180265765549E-10      2.188238024431E-15      3.542121220314E-23      1.292796913104E-31      4.786148532276E-34      1.189370167177E-32
