# L=8, N=8, T=1.0, sym gs
#          U         Eg                 S₁(ℓ=4)              S₁acc(ℓ=4)                 S₂(ℓ=4)              S₂acc(ℓ=4)                 EN(ℓ=4)              ENacc(ℓ=4)
    8.111308     -3.903537053366E+00      5.864399541745E-01      9.188829224172E-02      2.814672508768E-01      6.248058271886E-02      1.187089468984E+00      2.303758171103E-01
    8.697490     -3.643215139794E+00      5.224234156793E-01      8.113189807510E-02      2.394805928828E-01      5.722507467944E-02      1.118003510364E+00      2.049128732969E-01
    9.326033     -3.400259936356E+00      4.645938423529E-01      7.101465198505E-02      2.041935706954E-01      5.163109332490E-02      1.051052505356E+00      1.809771786852E-01
   10.000000     -3.173536044011E+00      4.128349548060E-01      6.178868577457E-02      1.745699623433E-01      4.604484764699E-02      9.869537210494E-01      1.590083983925E-01
   10.722672     -2.961925938497E+00      3.667439109581E-01      5.355355713745E-02      1.496472010583E-01      4.070852052350E-02      9.260844941078E-01      1.391898779447E-01
   11.497570     -2.764377701137E+00      3.257962285002E-01      4.630803130927E-02      1.286000237897E-01      3.576709732223E-02      8.685833417189E-01      1.215288506754E-01
   12.328467     -2.579920741973E+00      2.894447717656E-01      3.999293828963E-02      1.107492836824E-01      3.128962664891E-02      8.144359289075E-01      1.059245981137E-01
   13.219411     -2.407665192287E+00      2.571703939377E-01      3.452124896683E-02      9.554636720913E-02      2.729290108370E-02      7.635385331429E-01      9.221854164164E-02
   14.174742     -2.246794576022E+00      2.285028142278E-01      2.979691201114E-02      8.255034060250E-02      2.376150971870E-02      7.157407601102E-01      8.022764731057E-02
   15.199111     -2.096556834880E+00      2.030254529849E-01      2.572552859204E-02      7.140576595555E-02      2.066249904392E-02      6.708723194159E-01      6.976500477900E-02
   16.297508     -1.956255981978E+00      1.803727427607E-01      2.221972533563E-02      6.182403367740E-02      1.795507296115E-02      6.287587466433E-01      6.065150890796E-02
   17.475284     -1.825245147584E+00      1.602246036665E-01      1.920135183547E-02      5.356865810579E-02      1.559650918206E-02      5.892299743155E-01      5.272178481495E-02
   18.738174     -1.702921066416E+00      1.423003926731E-01      1.660191100790E-02      4.644404989394E-02      1.354548377314E-02      5.521245244180E-01      4.582659274118E-02
   20.092330     -1.588719779086E+00      1.263533138186E-01      1.436208762924E-02      4.028704072882E-02      1.176374654220E-02      5.172911554264E-01      3.983319693877E-02
   21.544347     -1.482113257779E+00      1.121656075853E-01      1.243087656995E-02      3.496048061356E-02      1.021680763314E-02      4.845891142200E-01      3.462463562537E-02
   23.101297     -1.382606694591E+00      9.954453467847E-02      1.076458561289E-02      3.034835955406E-02      8.874064610567E-03      4.538876841755E-01      3.009845970186E-02
   24.770764     -1.289736247887E+00      8.831905437921E-02      9.325853721825E-03      2.635204206327E-02      7.708634683744E-03      4.250654274906E-01      2.616527053945E-02
   26.560878     -1.203067099295E+00      7.833707084243E-02      8.082749748108E-03      2.288731654047E-02      6.697048294770E-03      3.980093397903E-01      2.274724006575E-02
   28.480359     -1.122191721368E+00      6.946313031114E-02      7.007975453928E-03      1.988204751063E-02      5.818892473623E-03      3.726140283784E-01      1.977670805965E-02
   30.538555     -1.046728291284E+00      6.157647325286E-02      6.078175646472E-03      1.727428052061E-02      5.056451522999E-03      3.487809645009E-01      1.719490013866E-02
   32.745492     -9.763192105905E-01      5.456936705746E-02      5.273348284384E-03      1.501069278877E-02      4.394368781998E-03      3.264178265723E-01      1.495078102289E-02
   35.111917     -9.106297074091E-01      4.834566324567E-02      4.576343474589E-03      1.304531266871E-02      3.819339767650E-03      3.054379340892E-01      1.300004218005E-02
   37.649358     -8.493465077668E-01      4.281953732579E-02      3.972439404590E-03      1.133845168002E-02      3.319839678655E-03      2.857597639366E-01      1.130421527799E-02
   40.370173     -7.921765689828E-01      3.791437992833E-02      3.448983847043E-03      9.855807226958E-03      2.885884476380E-03      2.673065378224E-01      9.829899602271E-03
   43.287613     -7.388458715178E-01      3.356181541611E-02      2.995091072364E-03      8.567704218027E-03      2.508822986345E-03      2.500058692333E-01      8.548090731313E-03
   46.415888     -6.890982675201E-01      2.970082957046E-02      2.601385372555E-03      7.448450999242E-03      2.181156784346E-03      2.337894592205E-01      7.433598137739E-03
   49.770236     -6.426943850996E-01      2.627699181248E-02      2.259783724144E-03      6.475790248062E-03      1.896384526155E-03      2.185928317359E-01      6.464540342839E-03
   53.366992     -5.994105875798E-01      2.324176019833E-02      1.963311310431E-03      5.630429355586E-03      1.648867555653E-03      2.043551007593E-01      5.621907429463E-03
   57.223677     -5.590379868992E-01      2.055185946372E-02      1.705944655076E-03      4.895637760364E-03      1.433713923694E-03      1.910187628891E-01      4.889181926064E-03
   61.359073     -5.213815101190E-01      1.816872391609E-02      1.482477992588E-03      4.256900960380E-03      1.246678283426E-03      1.785295103283E-01      4.252010216620E-03
   65.793322     -4.862590177370E-01      1.605799814167E-02      1.288409231362E-03      3.701622704832E-03      1.084075454748E-03      1.668360602647E-01      3.697917667130E-03
   70.548023     -4.535004722697E-01      1.418908941546E-02      1.119842470988E-03      3.218868281136E-03      9.427057513282E-04      1.558899975246E-01      3.216061577200E-03
   75.646333     -4.229471553593E-01      1.253476644609E-02      9.734045368301E-04      2.799142952951E-03      8.197904307114E-04      1.456456280892E-01      2.797016867409E-03
   81.113083     -3.944509315064E-01      1.107079970359E-02      8.461734091923E-04      2.434200535630E-03      7.129158610168E-04      1.360598416304E-01      2.432590108626E-03
   86.974900     -3.678735564188E-01      9.775639098105E-03      7.356167668342E-04      2.116877861818E-03      6.199851986260E-04      1.270919816694E-01      2.115658099764E-03
   93.260335     -3.430860279025E-01      8.630125224895E-03      6.395391481776E-04      1.840951525686E-03      5.391765431357E-04      1.187037223067E-01      1.840027717753E-03
  100.000000     -3.199679771893E-01      7.617230780074E-03      5.560364687698E-04      1.601013825549E-03      4.689066828034E-04      1.108589507422E-01      1.600314208628E-03
